year,state,DenState,MedIncome,Change,inc1,incvote
1984,AK,0.781973095238104,32356,-0.0306122448979593,1,0.690559126477164
1984,AL,78.0471021428573,17310,0.09375,1,0.612633953513183
1984,AR,44.9998738095239,15674,0.0487804878048781,1,0.612275881019441
1984,AZ,31.175690714286,21425,-0.223880597014925,1,0.67116727570006
1984,CA,166.338731428573,25287,0.0563380281690141,1,0.582245348221977
1984,CO,31.5094257142857,25801,-0.125,1,0.643657698356506
1984,CT,628.471441666669,29951,-0.241935483870968,1,0.609991687630181
1984,DC,11223.8971642857,20408,0.0487804878048781,1,0.138522660528992
1984,DE,331.25323261905,25819,-0.215189873417722,1,0.599536726991955
1984,FL,213.845878809525,19785,-0.03125,1,0.653324132135455
1984,GA,112.264422380953,19984,-0.0317460317460318,1,0.601978201481398
1984,HI,152.761137142857,28877,0.115384615384615,1,0.557037242176494
1984,IA,51.4611704761905,19863,0.0757575757575758,1,0.537238253300201
1984,ID,12.8084595238095,21092,-0.0389610389610389,1,0.73275571197415
1984,IL,203.18167952381,23752,-0.0112359550561797,1,0.564732533072208
1984,IN,152.938009761905,22770,-0.153061224489796,1,0.620734291216838
1984,KS,29.8267695238096,24629,0.0212765957446808,1,0.670294771115697
1984,KY,92.5573176190478,17680,0,1,0.603641823894519
1984,LA,90.9544109523811,18949,0.47887323943662,1,0.614191611625422
1984,MA,751.824664523811,26959,-0.245614035087719,1,0.513983302372594
1984,MD,451.947146428573,29708,-0.235294117647059,1,0.527575271921446
1984,ME,36.968681904762,20648,-0.275,1,0.610691179006016
1984,MI,157.244726190476,22965,-0.155038759689922,1,0.595463249981686
1984,MN,53.8069471428572,24436,0,1,0.499091092318051
1984,MO,73.5909992857145,20775,-0.142857142857143,1,0.60024750667877
1984,MS,54.2073200000001,15430,0.308641975308642,1,0.623150350589416
1984,MT,5.56207904761906,19536,0.15625,1,0.61301398763687
1984,NC,137.902330952381,20569,0.0298507462686567,1,0.620278629498869
1984,ND,9.48410880952382,20771,0.018867924528302,1,0.657345823831477
1984,NE,20.8164021428572,21397,0.0232558139534885,1,0.71004753673293
1984,NH,107.857830952381,25914,-0.122448979591837,1,0.689344522544057
1984,NJ,1000.54434880953,27776,-0.223684210526316,1,0.605213910814963
1984,NM,11.6077738095239,20630,0.0125,1,0.603495981291882
1984,NV,11.8649183333333,25776,0.176470588235294,1,0.673156815547829
1984,NY,378.605162380953,22027,-0.0533333333333334,1,0.540177189576279
1984,OH,257.6588,23123,-0.0108695652173913,1,0.594706837190683
1984,OK,44.1756557142858,21148,0.42,1,0.691098258476989
1984,OR,28.7419557142858,21399,0.0449438202247191,1,0.561047113393374
1984,PA,265.211963333333,20346,0.0602409638554217,1,0.537007314771217
1984,RI,928.036032619048,21612,-0.324324324324324,1,0.518297302449253
1984,SC,113.079672380953,20309,-0.0684931506849315,1,0.641187794141238
1984,SD,9.62182952380954,19409,-0.134615384615385,1,0.632995132435679
1984,TN,117.49302404762,16782,0,1,0.58181848094453
1984,TX,63.4966657142863,23024,0.132075471698113,1,0.637863051730134
1984,UT,21.0019214285716,23057,-0.0735294117647059,1,0.751200210096817
1984,VA,147.344475238096,26525,-0.0188679245283018,1,0.626756879392198
1984,VT,55.8310438095239,22578,-0.276923076923077,1,0.586649107277791
1984,WA,70.4053278571432,25017,0.0588235294117647,1,0.568463510163663
1984,WI,87.7774533333334,20743,-0.186046511627907,1,0.546220157096218
1984,WV,76.9999664285714,16843,0.421568627450981,1,0.552724343245985
1984,WY,4.46109523809524,23816,0.465116279069767,1,0.714003997620719
1988,AK,0.847230714285725,33103,-0.105263157894737,0,0.621633174342534
1988,AL,80.2697435714288,19948,-0.295238095238095,0,0.597455683980889
1988,AR,46.4518785714288,20172,-0.13953488372093,0,0.571916427131151
1988,AZ,34.6503778571432,26435,0.211538461538461,0,0.607434915309925
1988,CA,177.370205714286,30287,-0.293333333333333,0,0.518073105363759
1988,CO,34.0223228571429,26214,0.0892857142857143,0,0.539538243814971
1988,CT,645.570425000003,36213,-0.340425531914894,0,0.52581150456433
1988,DC,11070.8290071428,26741,-0.441860465116279,0,0.147542473943432
1988,DE,350.04395214286,30505,-0.467741935483871,0,0.562411895958693
1988,FL,234.67531357143,25406,-0.161290322580645,0,0.612520716458516
1988,GA,119.843032857143,26566,-0.0983606557377049,0,0.602036163447603
1988,HI,161.287788571429,33024,-0.448275862068965,0,0.451937240198411
1988,IA,51.9306885714286,24305,-0.394366197183099,0,0.448515188599175
1988,ID,13.6731214285714,23450,-0.22972972972973,0,0.63287822850633
1988,IL,207.067261428572,29524,-0.272727272727273,0,0.510492769963588
1988,IN,157.126420714286,26293,-0.36144578313253,0,0.60125991124932
1988,KS,30.5180914285715,25566,-0.0625,0,0.567275017021865
1988,KY,94.9563471428573,19907,-0.170454545454546,0,0.558537678117886
1988,LA,93.4454671428573,20497,-0.00952380952380949,0,0.551912923239497
1988,MA,767.243956428573,33213,-0.209302325581395,0,0.460174110668131
1988,MD,473.645310714286,36552,-0.211538461538462,0,0.51464430231117
1988,ME,37.8607542857144,26402,-0.362068965517241,0,0.557710187034683
1988,MI,160.548321428571,29472,-0.339449541284404,0,0.539780499600551
1988,MN,55.7252585714286,29087,-0.271186440677966,0,0.46449140074756
1988,MO,75.4496521428574,23443,-0.106060606060606,0,0.519969116809772
1988,MS,55.38084,18166,-0.179245283018868,0,0.605210829551828
1988,MT,5.74716285714288,22231,-0.162162162162162,0,0.529881897213843
1988,NC,145.778507142858,24415,-0.478260869565217,0,0.5815753786855
